id,date,store_nbr,family,sales,onpromotion,city,state,type,cluster,day_of_week,month,year,is_weekend,sales_lag_1,sales_lag_7,rolling_mean_7,rolling_mean_30,predicted_sales
2974158,2017-08-01,1,0,5.0,0,18,12,3,13,1,8,2017,0,8.0,10.0,5.285714285714286,4.666666666666667,7.198762
2975940,2017-08-02,1,0,4.0,0,18,12,3,13,2,8,2017,0,5.0,2.0,4.571428571428571,4.7,6.4689302
2977722,2017-08-03,1,0,3.0,0,18,12,3,13,3,8,2017,0,4.0,5.0,4.857142857142857,4.833333333333333,6.6853857
2979504,2017-08-04,1,0,8.0,0,18,12,3,13,4,8,2017,0,3.0,7.0,4.571428571428571,4.766666666666667,6.076189
2981286,2017-08-05,1,0,5.0,0,18,12,3,13,5,8,2017,1,8.0,4.0,4.714285714285714,5.0,7.596746
2983068,2017-08-06,1,0,6.0,0,18,12,3,13,6,8,2017,1,5.0,1.0,4.857142857142857,5.0,0.0
2984850,2017-08-07,1,0,7.0,0,18,12,3,13,0,8,2017,0,6.0,8.0,5.571428571428571,5.066666666666666,7.198762
2986632,2017-08-08,1,0,4.0,0,18,12,3,13,1,8,2017,0,7.0,5.0,5.428571428571429,5.1,7.198762
2988414,2017-08-09,1,0,7.0,0,18,12,3,13,2,8,2017,0,4.0,4.0,5.285714285714286,5.166666666666667,7.1642733
2990196,2017-08-10,1,0,9.0,0,18,12,3,13,3,8,2017,0,7.0,3.0,5.714285714285714,5.3,6.7198744
2991978,2017-08-11,1,0,1.0,0,18,12,3,13,4,8,2017,0,9.0,8.0,6.571428571428571,5.366666666666666,8.992897
2993760,2017-08-12,1,0,6.0,0,18,12,3,13,5,8,2017,1,1.0,5.0,5.571428571428571,5.166666666666667,6.8524947
2995542,2017-08-13,1,0,1.0,0,18,12,3,13,6,8,2017,1,6.0,6.0,5.714285714285714,5.066666666666666,0.0
2997324,2017-08-14,1,0,1.0,0,18,12,3,13,0,8,2017,0,1.0,7.0,5.0,4.966666666666667,6.93419
2999106,2017-08-15,1,0,4.0,0,18,12,3,13,1,8,2017,0,1.0,4.0,4.142857142857143,4.8,6.238847
2974159,2017-08-01,1,1,0.0,0,18,12,3,13,1,8,2017,0,0.0,0.0,0.0,0.0,4.4890847
2975941,2017-08-02,1,1,0.0,0,18,12,3,13,2,8,2017,0,0.0,0.0,0.0,0.0,4.4890847
2977723,2017-08-03,1,1,0.0,0,18,12,3,13,3,8,2017,0,0.0,0.0,0.0,0.0,4.0101976
2979505,2017-08-04,1,1,0.0,0,18,12,3,13,4,8,2017,0,0.0,0.0,0.0,0.0,4.3264275
2981287,2017-08-05,1,1,0.0,0,18,12,3,13,5,8,2017,1,0.0,0.0,0.0,0.0,4.40739
2983069,2017-08-06,1,1,0.0,0,18,12,3,13,6,8,2017,1,0.0,0.0,0.0,0.0,0.0
2984851,2017-08-07,1,1,0.0,0,18,12,3,13,0,8,2017,0,0.0,0.0,0.0,0.0,4.4890847
2986633,2017-08-08,1,1,0.0,0,18,12,3,13,1,8,2017,0,0.0,0.0,0.0,0.0,4.4890847
2988415,2017-08-09,1,1,0.0,0,18,12,3,13,2,8,2017,0,0.0,0.0,0.0,0.0,4.4890847
2990197,2017-08-10,1,1,0.0,0,18,12,3,13,3,8,2017,0,0.0,0.0,0.0,0.0,4.0101976
2991979,2017-08-11,1,1,0.0,0,18,12,3,13,4,8,2017,0,0.0,0.0,0.0,0.0,4.3264275
2993761,2017-08-12,1,1,0.0,0,18,12,3,13,5,8,2017,1,0.0,0.0,0.0,0.0,4.40739
2995543,2017-08-13,1,1,0.0,0,18,12,3,13,6,8,2017,1,0.0,0.0,0.0,0.0,0.0
2997325,2017-08-14,1,1,0.0,0,18,12,3,13,0,8,2017,0,0.0,0.0,0.0,0.0,4.4890847
2999107,2017-08-15,1,1,0.0,0,18,12,3,13,1,8,2017,0,0.0,0.0,0.0,0.0,4.4890847
2974160,2017-08-01,1,2,4.0,0,18,12,3,13,1,8,2017,0,3.0,7.0,3.0,3.2,5.4855127
2975942,2017-08-02,1,2,2.0,1,18,12,3,13,2,8,2017,0,4.0,3.0,2.5714285714285716,3.2666666666666666,5.746937
2977724,2017-08-03,1,2,5.0,1,18,12,3,13,3,8,2017,0,2.0,1.0,2.4285714285714284,3.1666666666666665,4.6952925
2979506,2017-08-04,1,2,7.0,1,18,12,3,13,4,8,2017,0,5.0,2.0,3.0,3.1333333333333333,5.985441
2981288,2017-08-05,1,2,3.0,1,18,12,3,13,5,8,2017,1,7.0,3.0,3.7142857142857144,3.3,7.3339086
2983070,2017-08-06,1,2,2.0,1,18,12,3,13,6,8,2017,1,3.0,2.0,3.7142857142857144,3.2333333333333334,0.0
2984852,2017-08-07,1,2,5.0,1,18,12,3,13,0,8,2017,0,2.0,3.0,3.7142857142857144,3.3,6.6713495
2986634,2017-08-08,1,2,2.0,1,18,12,3,13,1,8,2017,0,5.0,4.0,4.0,3.3666666666666667,6.901433
2988416,2017-08-09,1,2,4.0,1,18,12,3,13,2,8,2017,0,2.0,2.0,3.7142857142857144,3.3333333333333335,6.6713495
2990198,2017-08-10,1,2,10.0,1,18,12,3,13,3,8,2017,0,4.0,5.0,4.0,3.3666666666666667,6.4225454
2991980,2017-08-11,1,2,1.0,1,18,12,3,13,4,8,2017,0,10.0,7.0,4.714285714285714,3.566666666666667,8.612962
2993762,2017-08-12,1,2,3.0,1,18,12,3,13,5,8,2017,1,1.0,3.0,3.857142857142857,3.3666666666666667,6.5896544
2995544,2017-08-13,1,2,1.0,0,18,12,3,13,6,8,2017,1,3.0,2.0,3.857142857142857,3.3,0.0
2997326,2017-08-14,1,2,6.0,1,18,12,3,13,0,8,2017,0,1.0,5.0,3.7142857142857144,3.2666666666666666,6.6713495
2999108,2017-08-15,1,2,4.0,1,18,12,3,13,1,8,2017,0,6.0,2.0,3.857142857142857,3.3,6.9359217
2974161,2017-08-01,1,3,2627.0,26,18,12,3,13,1,8,2017,0,2414.0,2438.0,2118.1428571428573,2152.4333333333334,2279.5872
2975943,2017-08-02,1,3,2645.0,25,18,12,3,13,2,8,2017,0,2627.0,2242.0,2145.1428571428573,2202.1666666666665,2248.445
2977725,2017-08-03,1,3,2037.0,7,18,12,3,13,3,8,2017,0,2645.0,2002.0,2202.714285714286,2206.133333333333,2010.6874
2979507,2017-08-04,1,3,2479.0,10,18,12,3,13,4,8,2017,0,2037.0,2358.0,2207.714285714286,2197.9,2281.625
2981289,2017-08-05,1,3,2093.0,7,18,12,3,13,5,8,2017,1,2479.0,2161.0,2225.0,2190.8333333333335,2341.4316
2983071,2017-08-06,1,3,968.0,5,18,12,3,13,6,8,2017,1,2093.0,1212.0,2215.285714285714,2184.4666666666667,1404.8191
2984853,2017-08-07,1,3,2086.0,7,18,12,3,13,0,8,2017,0,968.0,2414.0,2180.4285714285716,2130.9333333333334,2056.99
2986635,2017-08-08,1,3,2418.0,7,18,12,3,13,1,8,2017,0,2086.0,2627.0,2133.5714285714284,2122.1,2220.6453
2988417,2017-08-09,1,3,2311.0,7,18,12,3,13,2,8,2017,0,2418.0,2645.0,2103.714285714286,2163.3333333333335,2320.4436
2990199,2017-08-10,1,3,2377.0,6,18,12,3,13,3,8,2017,0,2311.0,2037.0,2056.0,2162.4333333333334,1937.706
2991981,2017-08-11,1,3,1006.0,3,18,12,3,13,4,8,2017,0,2377.0,2479.0,2104.5714285714284,2162.6,2419.7434
2993763,2017-08-12,1,3,1659.0,7,18,12,3,13,5,8,2017,1,1006.0,2093.0,1894.142857142857,2114.133333333333,1959.5167
2995545,2017-08-13,1,3,803.0,5,18,12,3,13,6,8,2017,1,1659.0,968.0,1832.142857142857,2098.9333333333334,1264.8806
2997327,2017-08-14,1,3,2201.0,9,18,12,3,13,0,8,2017,0,803.0,2086.0,1808.5714285714287,2041.4,1640.6425
2999109,2017-08-15,1,3,1942.0,11,18,12,3,13,1,8,2017,0,2201.0,2418.0,1825.0,2042.0,1972.1807
2974162,2017-08-01,1,4,0.0,0,18,12,3,13,1,8,2017,0,1.0,0.0,0.14285714285714285,0.23333333333333334,4.4890847
2975944,2017-08-02,1,4,0.0,0,18,12,3,13,2,8,2017,0,0.0,0.0,0.14285714285714285,0.23333333333333334,4.4890847
2977726,2017-08-03,1,4,0.0,0,18,12,3,13,3,8,2017,0,0.0,0.0,0.14285714285714285,0.2,4.0101976
2979508,2017-08-04,1,4,0.0,0,18,12,3,13,4,8,2017,0,0.0,0.0,0.14285714285714285,0.2,4.3264275
2981290,2017-08-05,1,4,0.0,0,18,12,3,13,5,8,2017,1,0.0,0.0,0.14285714285714285,0.2,4.40739
2983072,2017-08-06,1,4,0.0,0,18,12,3,13,6,8,2017,1,0.0,0.0,0.14285714285714285,0.2,0.0
2984854,2017-08-07,1,4,0.0,0,18,12,3,13,0,8,2017,0,0.0,1.0,0.14285714285714285,0.16666666666666666,4.4890847
2986636,2017-08-08,1,4,0.0,0,18,12,3,13,1,8,2017,0,0.0,0.0,0.0,0.16666666666666666,4.4890847
2988418,2017-08-09,1,4,0.0,0,18,12,3,13,2,8,2017,0,0.0,0.0,0.0,0.16666666666666666,4.4890847
2990200,2017-08-10,1,4,0.0,0,18,12,3,13,3,8,2017,0,0.0,0.0,0.0,0.16666666666666666,4.0101976
2991982,2017-08-11,1,4,0.0,0,18,12,3,13,4,8,2017,0,0.0,0.0,0.0,0.13333333333333333,4.3264275
2993764,2017-08-12,1,4,0.0,0,18,12,3,13,5,8,2017,1,0.0,0.0,0.0,0.13333333333333333,4.40739
